companyId,companyFullName,companyLabelList,companyShortName,companySize,businessZones
112731,上海天翌电子商务有限公司,,上海天翌（象翌集团）,150-500人,"['南京西路', '静安寺', '陕西南路']"
36157,上海米飞网络科技有限公司,"['股票期权', '扁平管理', '五险一金', '弹性工作']",米飞,15-50人,"['万源城', '东兰路', '古美']"
64605,拉卡拉商务服务有限公司,"['节日礼物', '年底双薪', '专项奖金', '股票期权']",拉卡拉商务服务有限公司,500-2000人,"['金沙江路', '长风公园', '华师大']"
95588,新西兰西城威尔士集团上海代表处,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']",西城威尔士,50-150人,"['世纪公园', '塘桥', '花木']"
22862,上海华腾软件系统有限公司,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']",上海华腾软件系统有限公司,2000人以上,"['田林', '漕河泾', '漕宝路']"
15125,上海连游网络科技有限公司,"['绩效奖金', '股票期权', '专项奖金', '五险一金']",上海开阅信息技术有限公司,50-150人,['东兰路']
62831,北京明略软件系统有限公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",明略数据,150-500人,['张江']
2768,北京东方车云信息技术有限公司,"['节日礼物', '绩效奖金', '岗位晋升', '年度旅游']",易到用车,500-2000人,"['周家嘴路', '长阳路', '黄兴公园']"
121467,上海木爷机器人技术有限公司,"['股票期权', '带薪年假', '交通补助', '定期体检']",上海木爷机器人,50-150人,"['虹桥机场', '动物园']"
26980,上海华腾软件系统有限公司,"['年底双薪', '午餐补助', '带薪年假', '定期体检']",上海华腾软件系统有限公司,2000人以上,"['田林', '漕河泾', '漕宝路']"
67333,上海乙央电子商务有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",能猫工作室,150-500人,
22809,上海驻云信息科技有限公司,"['股票期权', '带薪年假', '定期体检', '年度旅游']",驻云,50-150人,['张江']
133898,上海轩言网络信息科技有限公司,"['绩效奖金', '专项奖金', '定期体检', '免费晚餐']",好买车,50-150人,"['汶水路', '大宁路', '闸北公园']"
47996,上海学伴软件有限公司,"['技能培训', '年底双薪', '股票期权', '带薪年假']",学伴软件,15-50人,"['控江路', '鞍山', '江浦路']"
114349,中兴飞流信息科技有限公司,"['股票期权', '带薪年假', '午餐补助', '技能培训']",中兴飞流,50-150人,['张江']
133463,上海数之巅科技有限公司,"['年底双薪', '年终分红', '带薪年假', '领导好']",巅峰数据,少于15人,
152356,上海浦东发展银行股份有限公司信用卡中心,,浦发卡中心,2000人以上,['陆家嘴']
105495,上海易鲸捷信息技术有限公司,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']",易鲸捷,15-50人,
22298,上海途顺网络科技有限公司,"['专项奖金', '股票期权', '年终奖金', '规范技能培训']",惠租车,150-500人,"['复旦大学', '五角场']"
21289,资邦（上海）投资咨询有限公司,"['五险一金', '通讯津贴', '交通补助', '带薪年假']",资邦,500-2000人,"['塘桥', '东方路', '世纪公园']"
134233,上海康成电子商务有限公司,"['弹性工作', '扁平管理', '节日礼物', '绩效奖金']",玖玖保资,50-150人,"['东外滩', '陆家嘴', '八佰伴']"
25392,上海美慧软件有限公司,"['绩效奖金', '五险一金', '带薪年假', '定期体检']",美慧,50-150人,"['鲁迅公园', '虹口足球场', '四川北路']"
95624,上海亿达信息技术服务有限公司,"['节日礼物', '年底双薪', '带薪年假', '岗位晋升']",亿达信息,2000人以上,"['漕宝路', '万源城', '东兰路']"
99520,上海伍贰买房网络科技有限公司,"['节日礼物', '岗位晋升', '管理规范', '领导好']",我爱买房网,150-500人,"['肇嘉浜路', '日晖', '斜土路']"
67010,上海雪橙互联网金融信息服务有限公司,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",雪橙金服,150-500人,"['东方路', '潍坊', '塘桥']"
