positionId,city,companyId,firstType,secondType,education,industryField,positionAdvantage,positionName,positionLables,salary,workYear
1718044,上海,9343,技术,后端开发,本科,移动互联网,公司核心技术 想法到产品快速落地,大数据开发工程师,"['大数据', '数据库', '数据']",13k-25k,1-3年
2327616,上海,165,技术,后端开发,本科,数据服务,快速发展,大数据开发工程师,"['大数据', '数据库', '数据']",15k-25k,1-3年
2578380,上海,154804,开发/测试/运维类,数据开发,本科,"数据服务,移动互联网","发展前景好,工作气氛佳",大数据开发,"['初级', '数据分析', '算法', '大数据', '数据库', '数据']",4k-6k,1年以下
2576426,上海,64597,产品/需求/项目类,数据分析,本科,"移动互联网,教育","市中心办公,五险一金,周末双休",数据分析,"['数据分析', '数据']",5k-8k,1-3年
2573723,上海,91625,运营/编辑/客服,运营,大专,"移动互联网,O2O",五险一金 免费班车 餐补 免费体检,数据分析专员,"['数据', '数据分析']",4k-6k,1年以下
2368754,上海,41486,技术,后端开发,本科,"电子商务,广告营销","优秀团队,弹性工作,快速发展,零食饮料",数据/爬虫工程师,"['爬虫', '数据']",10k-20k,1-3年
2578925,上海,157159,产品/需求/项目类,数据分析,本科,"数据服务,移动互联网","弹性工作制,扁平化管理,技术氛围",大数据工程师,"['大数据', '数据']",10k-20k,1-3年
2408992,上海,34683,市场与销售,市场/营销,本科,金融,"氛围轻松,五险一金,弹性时间,免费零食",反欺诈数据分析师,"['分析师', '数据分析', '数据']",7k-12k,1-3年
2340417,上海,26962,技术,后端开发,硕士,金融,福利好 待遇佳 平台大,大数据工程师,"['大数据', '数据']",15k-25k,1-3年
2399464,上海,5918,技术,后端开发,本科,"电子商务,旅游",14薪，员工内部价旅游，定期团建,初级大数据开发工程师,"['大数据', '数据库', '数据']",8k-15k,1-3年
2400018,上海,51480,技术,后端开发,本科,移动互联网,团队梦想级，晋升空间大，公司平台大~,大数据开发工程师,"['大数据', '数据库', '数据']",15k-30k,1-3年
2458723,上海,40644,运营,运营,本科,"移动互联网,数据服务",薪资福利好，发展空间大,数据分析经理,"['数据分析', '数据']",6k-9k,1-3年
2104794,上海,10215,技术,后端开发,本科,游戏,五险一金，补充医疗，餐费补贴，美女多,数据仓库工程师,"['数据仓库', '数据']",15k-30k,1-3年
2491205,上海,73937,技术,运维安全,本科,移动互联网,"补充公积金,弹性工作制,补充医疗,年终奖",ETL工程师/数据研发工程师,"['ETL', '数据库', '数据']",10k-20k,1-3年
2524620,上海,28095,开发/测试/运维类,软件开发,本科,金融,"五险二金,互联网文化,年轻团队,交通便利",BI数据分析师,"['分析师', '数据分析', '数据', 'BI']",8k-16k,1-3年
1803566,上海,27155,技术,DBA,本科,金融,良好的团队氛围和职业发展平台,大数据工程师,"['大数据', '数据']",15k-25k,1-3年
